company_name,year_founded,Industries,hq,zipcode,description,operating_status,cb_rank,funding_status,funding_date,funding_type,ipo_status,estimated_revenue,num_employees,num_funding_rounds,total_funding,top_investors,num_investors,operating_status_binary,num_employees_cat,clean_name,city,state,country
Space K9,2017,"Content Marketing, Copywriting, Information Technology, Personal Branding","Jersey City, New Jersey, United States",7306,"SPACE K9 helps brands connect with their audience through storytelling, brand identity, and communication strategies.",Active,2160407,0,0,0,Private,$1M to $10M,10-Jan,0,0,0,0,1,10-Jan,SPACE K9,Jersey City,New Jersey,United States
Bestmark National,2016,"Construction, Furniture, Manufacturing, Product Design, Project Management","Irvington, New Jersey, United States",7111,"Bestmark National is a furniture manufacturing company that offers design, development, project management, prototyping, and space planning.",Active,348539,0,0,0,Private,$1M to $10M,51-100,0,0,0,0,1,51-100,BESTMARK NATIONAL,Irvington,New Jersey,United States
Aphelion Orbitals,2015,"Aerospace, Gaming, Satellite Communication","Union City, New Jersey, United States",7087,"Aphelion provides full lifecycle launch services that allow regular, scheduled orbital access at an unprecedented rate and low cost.",Active,135909,Seed,2017-07-28,Seed,Private,Less than $1M,10-Jan,1,500000,0,0,1,10-Jan,APHELION ORBITALS,Union City,New Jersey,United States
"HealthHive, PBC",2018,"Big Data, Health Care, Information Technology, Mobile, Mobile Apps, SaaS","Short Hills, New Jersey, United States",7078,"SaaS, Mobile App, Web Application",Active,897285,Seed,2021-11-10,Pre-Seed,Private,Less than $1M,11-50,1,0,0,0,1,11-50,"HEALTHHIVE, PBC",Short Hills,New Jersey,United States
Edekee Inc.,2020,"E-Commerce, Information Technology","West Orange, New Jersey, United States",7052,"API-as-a-service , Video Commerce type company that connects people to products",Active,154039,Seed,2022-06-21,Seed,Private,0,11-50,2,300000,Tekedia Capital,1,1,11-50,EDEKEE,West Orange,New Jersey,United States
Bearly Solutions,2019,"Artificial Intelligence (AI), Social Media, Web Development","Lincoln Park, New Jersey, United States",7035,Bearly Solutions designs custom websites and applications to boost small business productivity and engagement.,Active,942709,0,0,0,Private,$1M to $10M,10-Jan,0,0,0,0,1,10-Jan,BEARLY SOLUTIONS,Lincoln Park,New Jersey,United States
Hudson Space Systems,2018,"Aerospace, Manufacturing, Space Travel","Hoboken, New Jersey, United States",7030,Microgravity as a Service,Active,125869,Seed,2020-06-01,Pre-Seed,Private,Less than $1M,10-Jan,1,425000,0,0,1,10-Jan,HUDSON SPACE SYSTEMS,Hoboken,New Jersey,United States
GO Digital,2022,"Financial Services, Information Technology","Greenwich, Connecticut, United States",6830,Building the bridge for institutional traders to the digital asset space,Active,3152283,0,0,0,Private,0,11-50,0,0,0,0,1,11-50,GO DIGITAL,Greenwich,Connecticut,United States
Crypto Pro,2018,"Blockchain, Cryptocurrency, Information Technology","Darien, Connecticut, United States",6820,The leading conference for investors interested in crypto assets and blockchain technologies.,Closed,1734818,0,0,0,Private,0,0,0,0,0,0,0,,CRYPTO PRO,Darien,Connecticut,United States
Market Pros International,2016,"Advertising, Information Technology, Marketing, Social Media","Danbury, Connecticut, United States",6811,Market Pros International is an industry leader in the digital marketing and social media space,Active,170200,Seed,2017-01-01,Seed,Private,$1M to $10M,10-Jan,1,50000,0,0,1,10-Jan,MARKET PROS INTERNATIONAL,Danbury,Connecticut,United States
Digital LLC,2020,"Blockchain, Cryptocurrency, Financial Services, FinTech, Information Technology, Trading Platform","Greenwich, Connecticut, United States",680,Next Generation Digital Financial Services®,Active,539572,Seed,2020-10-01,Seed,Private,$1M to $10M,10-Jan,1,0,0,0,1,10-Jan,DIGITAL,Greenwich,Connecticut,United States
Benchmark Space Systems,2017,"Aerospace, Hardware, Manufacturing","South Burlington, Vermont, United States",5401,Benchmark Space Systems is an aerospace company that offers propulsion solutions for small satellite applications.,Active,18175,Early Stage Venture,2024-05-21,Series B,Private,Less than $1M,51-100,12,55672653,"Creative Destruction Lab (CDL), LaunchCapital, FreshTracks Capital, Hula, Vermont Center for Emerging Technologies",9,1,51-100,BENCHMARK SPACE SYSTEMS,South Burlington,Vermont,United States
UNH Students for the Exploration and Development of Space,2017,"Aerospace, Non Profit","Durham, North Carolina, United States",3824,UNH SEDS is a student development organization that empowers people to participate and make an impact in space exploration.,Active,2781813,0,0,0,Private,0,11-50,0,0,0,0,1,11-50,UNH STUDENTS FOR THE EXPLORATION AND DEVELOPMENT OF SPACE,Durham,North Carolina,United States
Rogue Space Systems,2020,"Aerospace, Manufacturing, Robotics","Laconia, New Hampshire, United States",3246,"Rogue Space Systems expertise in designing satellite vehicles, robots and subsystems to satellite operators, manufactures and insurers.",Active,74901,Seed,2024-07-12,Grant,Private,Less than $1M,11-50,5,1500000,"Leonid Capital Partners, Seldor Capital, AWS Space Accelerator, SpaceWERX",4,1,11-50,ROGUE SPACE SYSTEMS,Laconia,New Hampshire,United States
NEMIC (New England Medical Innovation Center),2017,"Health Care, Information Technology","Providence, Rhode Island, United States",2903,"Conceiving fundable solutions in healthcare that are clinically relevant, provide value to the system and bring dignity to all who use it.",Active,147675,0,2021-12-07,Grant,Private,$1M to $10M,11-50,1,100000,Innovation Network Matching Grants,1,1,11-50,NEMIC (NEW ENGLAND MEDICAL INNOVATION CENTER),Providence,Rhode Island,United States
ECM PCB Stator Tech,2015,"Clean Energy, Consumer Electronics, Electronics, Energy, Energy Efficiency, Industrial Automation, Product Design, Robotics, SaaS, Software","Needham Heights, Massachusetts, United States",2494,ECM uses proprietary PCB Stator technology and SaaS to design optimized electric motors for multiple applications.,Active,46244,Early Stage Venture,2020-03-02,Series B,Private,Less than $1M,11-50,2,12070400,0,0,1,11-50,ECM PCB STATOR TECH,Needham Heights,Massachusetts,United States
SIMPL Automation,2023,Robotics,"Waltham, Massachusetts, United States",2452,"SIMPL Automation, a pioneering warehousing automation startup, tackles the primary industry challenges of space and labor.",Active,151775,0,0,Grant,Private,0,11-50,1,100000,Massachusetts Technology Collaborative,1,1,11-50,SIMPL AUTOMATION,Waltham,Massachusetts,United States
Trux,2015,"Communities, Construction, Enterprise Software, Information Technology, SaaS, Software, Software Engineering","Waltham, Massachusetts, United States",2451,Building the digital bridge to a connected construction community.,Active,60166,Early Stage Venture,2018-04-20,Series A,Private,Less than $1M,51-100,3,5850000,0,0,1,51-100,TRUX,Waltham,Massachusetts,United States
Brammer Bio,2015,"Biotechnology, Genetics, Health Care, Manufacturing, Pharmaceutical, Therapeutics","Lexington, Massachusetts, United States",2421,Brammer Bio create a best-in-class cell and gene therapy contract development and manufacturing organization (CDMO).,Active,746762,M&A,2021-01-01,Private Equity,Private,$10M to $50M,501-1000,1,0,Ampersand Capital Partners,1,1,501-1000,BRAMMER BIO,Lexington,Massachusetts,United States
Guardion,2017,"Advanced Materials, Internet of Things, Nanotechnology, National Security, Sensor","Boston, Massachusetts, United States",2210,Guardion is making the world safer from radiological and nuclear threats with quantum technology radiation detectors.,Active,84372,Seed,2024-05-22,Grant,Private,$10M to $50M,10-Jan,8,1953347,"Techstars, National Science Foundation, MassVentures, MassChallenge, Center for the Advancement of Science in Space",5,1,10-Jan,GUARDION,Boston,Massachusetts,United States
Gridline AI,2018,"Artificial Intelligence (AI), Clean Energy, Commercial Real Estate, Energy, Finance, Financial Services, FinTech, Machine Learning, Software","Allston, Massachusetts, United States",2163,Gridline AI is an AI-powered platform that provides the easiest way to unlock project finance.,Active,172590,0,2020-01-01,Venture - Series Unknown,Private,Less than $1M,10-Jan,3,20000,Alchemist Accelerator,1,1,10-Jan,GRIDLINE AI,Allston,Massachusetts,United States
Hedron,2016,"Internet of Things, Satellite Communication, Telecommunications","Cambridge, Massachusetts, United States",2139,Hedron built a network of data satellites that connects space to earth.,Active,68861,Early Stage Venture,2021-10-26,Series A,Private,$1M to $10M,11-50,5,21875000,"500 Global, Alumni Ventures, The Engine, Lockheed Martin Ventures, Dorm Room Fund",17,1,11-50,HEDRON,Cambridge,Massachusetts,United States
Hedron,2016,"Internet, Satellite Communication, Telecommunications","Cambridge, Massachusetts, United States",2139,Hedron is building a network of data relay satellites that will link space and earth in real time.,Active,2487321,0,0,0,Private,$1M to $10M,11-50,0,0,0,0,1,11-50,HEDRON,Cambridge,Massachusetts,United States
"ThreadTech, Inc.",2019,"Fashion, Manufacturing","Boston, Massachusetts, United States",2128,Apparel Development & Production. Makers Space. Sewing Labs & Design Trainings. Fashion Incubator.,Active,3483279,0,0,0,Private,0,10-Jan,0,0,0,0,1,10-Jan,"THREADTECH,",Boston,Massachusetts,United States
DeepCharge,2018,"Artificial Intelligence (AI), Electronics, Wireless","Boston, Massachusetts, United States",2110,Intelligent Wireless Charging Made Simple.,Active,152656,Seed,2021-06-29,Non-equity Assistance,Private,0,10-Jan,2,100000,"MassChallenge, Ideaship",2,1,10-Jan,DEEPCHARGE,Boston,Massachusetts,United States
Adroit Partners LLC,2019,"Artificial Intelligence (AI), E-Commerce, Financial Services, FinTech, Software","Boston, Massachusetts, United States",2110,"Adroit Partners invests in merchant portfolios, agent residual rights, new payment technologies, AI, etc.",Active,2384948,0,0,0,Private,Less than $1M,10-Jan,0,0,0,0,1,10-Jan,ADROIT PARTNERS,Boston,Massachusetts,United States
She+ Geeks Out,2015,"Association, Communities, Education, Information Technology","Boston, Massachusetts, United States",2109,"Fostering diversity, equity, and inclusion through events, networking, and education",Active,1342248,0,0,0,Private,Less than $1M,10-Jan,0,0,0,0,1,10-Jan,SHE+ GEEKS OUT,Boston,Massachusetts,United States
Mercury,2021,"Blockchain, Information Technology, Software, Web Hosting","Boston, Massachusetts, United States",2108,Mercury provides end-to-end NFT and fan engagement solutions for brands and IP holders.,Closed,73217,Seed,2022-10-20,Seed,Private,0,11-50,3,7500000,"Multicoin Capital, Crosslink Capital, BH Digital, Collab+Currency, North Island Ventures",7,0,11-50,MERCURY,Boston,Massachusetts,United States
Boxologic,2016,"E-Commerce, Industrial Automation, Robotics, Supply Chain Management","Boston, Massachusetts, United States",2101,BOXOLOGIC Box-on-Demand Robotics,Active,104792,Seed,2020-03-20,Seed,Private,Less than $1M,10-Jan,6,955000,"Techstars, Stanley Ventures",2,1,10-Jan,BOXOLOGIC,Boston,Massachusetts,United States
EPC Space,2017,"Manufacturing, Product Design, Semiconductor","Haverhill, Massachusetts, United States",1835,EPC Space is a producer of GaN-on-Si power devices.,Active,2000739,0,0,0,Private,$1M to $10M,11-50,0,0,0,0,1,11-50,EPC SPACE,Haverhill,Massachusetts,United States
Square Robot,2016,"Artificial Intelligence (AI), Big Data, Energy, Machine Learning, Oil and Gas, Robotics","Marlborough, Massachusetts, United States",1752,Square Robot builds robotic systems for submerged oil and gas inspections.,Active,42754,0,2023-09-25,Venture - Series Unknown,Private,$1M to $10M,11-50,1,5000000,0,0,1,11-50,SQUARE ROBOT,Marlborough,Massachusetts,United States
New Horizon Soft,2015,"Artificial Intelligence (AI), Machine Learning, SaaS, Software Engineering, Supply Chain Management","Acton, Massachusetts, United States",1720,"New Horizon Soft, LLC develops AI and Machine Learning software for supply chain optimization.",Active,2365063,0,0,0,Private,$1M to $10M,11-50,0,0,0,0,1,11-50,NEW HORIZON SOFT,Acton,Massachusetts,United States
Kinetic Batteries,2016,"Battery, Energy Storage, Industrial Manufacturing, Manufacturing","Worcester, Massachusetts, United States",1606,Kinetic Batteries develops scalable additive manufacturing technology for battery production.,Active,174986,0,2018-05-23,Non-equity Assistance,Private,Less than $1M,10-Jan,2,65000,"Massachusetts Clean Energy Center, MassChallenge",2,1,10-Jan,KINETIC BATTERIES,Worcester,Massachusetts,United States
ROBEX,2015,"Industrial Automation, Manufacturing, Robotics","Perrysburg, Ohio, United States",43551,ROBEX is a manufacturer of robotics integrator products.,Active,277581,M&A,0,0,Private,$1M to $10M,101-250,0,0,0,0,1,101-250,ROBEX,Perrysburg,Ohio,United States
Zibrio,2015,"Apps, Artificial Intelligence (AI), Fitness, Health Care, Health Diagnostics, Medical Device, mHealth","Houston, Texas, United States",77001,Zibrio is a balance diagnostics company that focuses on commercializing NASA technology solutions.,Active,417456,0,2020-12-17,Non-equity Assistance,Private,Less than $1M,10-Jan,4,0,"Texas HALO Fund, XFactor Ventures, Pipeline Angels, MassChallenge",4,1,10-Jan,ZIBRIO,Houston,Texas,United States
Avista Pharma,2015,"Biotechnology, Health Care, Manufacturing, Medical","Durham, North Carolina, United States",27701,"Avista Pharma Solutions - your capable, dependable partner - is a contract development and manufacturing",Closed,529195,M&A,2021-01-01,Private Equity,Private,0,501-1000,1,0,Ampersand Capital Partners,1,0,501-1000,AVISTA PHARMA,Durham,North Carolina,United States
The Space Research Company,2015,"Aerospace, Information Technology, Space Travel","Boulder, Colorado, United States",80302,The Space Research Company engages in accelerating technological advancements and high impact research in space.,Active,1074788,0,2017-05-30,Grant,Private,0,10-Jan,1,0,CatalyzeCU,1,1,10-Jan,THE SPACE RESEARCH COMPANY,Boulder,Colorado,United States
Purdue Orbital,2015,"Aerospace, Education, Higher Education","West Lafayette, Indiana, United States",47906,"Purdue Orbital is a student-led design, construct, and test team aiming to develop an innovative orbital launch platform.",Active,1556148,0,0,0,Private,$1M to $10M,11-50,0,0,0,0,1,11-50,PURDUE ORBITAL,West Lafayette,Indiana,United States
Laser Aerospace,2015,Aerospace,"Berkeley, California, United States",94704,"Laser Aerospace provides efficient, focused solutions to the aerospace industry in the development and fielding of systems.",Active,1861164,0,0,0,Private,0,10-Jan,0,0,0,0,1,10-Jan,LASER AEROSPACE,Berkeley,California,United States
Space Cow Media,2015,"Digital Media, Information Technology, Internet","Buffalo, New York, United States",14202,Space Cow Media is a digital media network that specializes in collectible card game content.,Active,2009286,0,0,0,Private,0,11-50,0,0,0,0,1,11-50,SPACE COW MEDIA,Buffalo,New York,United States
HyperCubes,2015,"Artificial Intelligence (AI), Big Data, Machine Learning, Software","San Francisco, California, United States",94103,Hypercubes is an SU Labs project building the next generation of observation satellites assisted by artificial intelligence.,Active,2412269,Seed,2017-02-24,Seed,Private,Less than $1M,10-Jan,2,0,"2Future, Singularity University Ventures",2,1,10-Jan,HYPERCUBES,San Francisco,California,United States
"Pareti Mobile Walls, LLC",2015,"Construction, Graphic Design, Interior Design, Manufacturing","Belle Plaine, Iowa, United States",52208,"Pareti Mobile Walls is a manufacturer of portable exhibit walls for museums, galleries, and other spaces.",Active,2427007,0,0,0,Private,$1M to $10M,11-50,0,0,0,0,1,11-50,"PARETI MOBILE WALLS,",Belle Plaine,Iowa,United States
Ubiquity Commerce,2015,"E-Commerce, Information Technology, Marketplace","Rogers, Arkansas, United States",72756,"Ubiquity Commerce offers eCommerce optimization, business process outsourcing, and a commerce engine to boost sales.",Active,3029492,0,0,0,Private,0,11-50,0,0,0,0,1,11-50,UBIQUITY COMMERCE,Rogers,Arkansas,United States
Orbital Online Solutions,2015,"Information Technology, Marketing, Outsourcing, Sales","Long Island City, New York, United States",11101,Orbital Online Solutions help all business types grow and scale by providing premium outsourcing services.,Active,3068203,0,0,0,Private,0,11-50,0,0,0,0,1,11-50,ORBITAL ONLINE SOLUTIONS,Long Island City,New York,United States
Luminati Aerospace,2015,"Aerospace, Solar, Space Travel","Calverton, New York, United States",11933,Luminati Aerospace specializes in designing and production of stratospheric satellite and solar aircraft.,Active,3212551,0,0,0,Private,$1M to $10M,0,0,0,0,0,1,,LUMINATI AEROSPACE,Calverton,New York,United States
Tuild,2015,"Apps, Health Care, Information Technology, Medical Device, Software, Therapeutics","Palo Alto, California, United States",94301,Tuild is a software company that makes apps for the digital therapeutics space.,Active,3243363,Seed,2016-03-04,Seed,Private,0,0,1,0,True Ventures,1,1,,TUILD,Palo Alto,California,United States
NextPlay Technologies,2015,"Artificial Intelligence (AI), Digital Media, Media and Entertainment","Sunrise, Florida, United States",33322,"NextPlay Technologies develops products and services in artificial intelligence, gaming, travel, and blockchain solutions.",Active,3308578,IPO,2022-05-11,Post-IPO Equity,Public,Less than $1M,101-250,4,8570000,0,0,1,101-250,NEXTPLAY TECHNOLOGIES,Sunrise,Florida,United States
Capella Space,2016,"Aerospace, Geospatial, Image Recognition, Information Services","San Francisco, California, United States",98004,Capella Space is an information services company that provides on-demand 24/7 SAR data for government and commercial customers.,Active,3247,0,2023-01-10,Venture - Series Unknown,Private,$1M to $10M,101-250,12,238969988,"Alumni Ventures, DCVC, Spark Capital, Pear VC, Canaan Partners",18,1,101-250,CAPELLA SPACE,San Francisco,California,United States
Orbital Sidekick,2016,"Aerospace, Information Technology, Satellite Communication","San Francisco, California, United States",95112,OSK is a satellite-based hyperspectral monitoring service helping organizations meet their sustainability and security goals.,Active,23269,0,2023-01-31,Venture - Series Unknown,Private,$10M to $50M,11-50,6,46774998,"Temasek Holdings, Starburst Accelerator, Air Force Research Laboratory, In-Q-Tel, ONEOK",13,1,11-50,ORBITAL SIDEKICK,San Francisco,California,United States
Radian,2016,"Aerospace, Air Transportation, Logistics, Space Travel","Bellevue, Washington, United States",73101,Radian is building the worlds first truly reusable orbital aerospace vehicle.,Active,49511,Seed,2022-01-19,Seed,Private,$1M to $10M,11-50,4,27500000,"Alumni Ventures, Exor Ventures, Jackson Moses, Gaingels, HCVC",13,1,11-50,RADIAN,Bellevue,Washington,United States
STELLARES,2016,"Artificial Intelligence (AI), Machine Learning, SaaS","Palo Alto, California, United States",10001,"STELLARES, AI-driven Talent Acquisition deep-tech company, helping recruiters with ""getting the right candidates interviewing""",Active,119951,Seed,2018-10-23,Seed,Private,$1M to $10M,11-50,2,3500000,Jerusalem Venture Partners (JVP),1,1,11-50,STELLARES,Palo Alto,California,United States
Emerging Futures,2016,Information Technology,"Berkeley, California, United States",90001,Emerging Futures is a research and analysis consultancy.,Active,140042,0,2021-12-08,Grant,Private,Less than $1M,10-Jan,1,255916,National Science Foundation,1,1,10-Jan,EMERGING FUTURES,Berkeley,California,United States
Space Foundry,2016,"Electronics, Machinery Manufacturing, Manufacturing","San Jose, California, United States",93101,Space Foundry is an electronic device manufacturing company.,Active,167215,0,2018-06-25,Grant,Private,Less than $1M,10-Jan,1,224830,National Science Foundation,1,1,10-Jan,SPACE FOUNDRY,San Jose,California,United States
Commuter Air Technology,2016,Information Technology,"Oklahoma City, Oklahoma, United States",37901,Commuter Air Technology is a defense & space company that provides modifications and leasing services.,Active,594993,0,0,0,Private,$100M to $500M,51-100,0,0,0,0,1,51-100,COMMUTER AIR TECHNOLOGY,Oklahoma City,Oklahoma,United States
PRSNL Branding,2016,"Advertising, Artificial Intelligence (AI), Career Planning, Marketing, Personal Branding, Personal Development, Public Relations, Social Media","New York, New York, United States",90210,"Boutique, full-service agency for professionals' online presence",Active,1156202,0,0,0,Private,0,10-Jan,0,0,0,0,1,10-Jan,PRSNL BRANDING,New York,New York,United States
Transparent Collective,2016,"Business Development, Information Technology, Non Profit, Venture Capital","San Francisco, California, United States",60601,Transparent Collective is a non-profit organization helping underrepresented founders access the growth resources and connections.,Active,1286210,0,0,0,Private,$1M to $10M,10-Jan,0,0,0,0,1,10-Jan,TRANSPARENT COLLECTIVE,San Francisco,California,United States
AppRebel,2016,"Apps, Consulting, Information Technology","Los Angeles, California, United States",84043,"AppRebel develops and manages a portfolio of utility and consumer apps, including Shopify enhancements and iOS tools.",Active,2012800,0,0,0,Private,0,10-Jan,0,0,0,0,1,10-Jan,APPREBEL,Los Angeles,California,United States
Kiva Cowork,2016,"Coworking, Event Management, Information Technology","Santa Barbara, California, United States",91101,Kiva Cowork provides co-working and event space management services.,Active,2498198,0,0,0,Private,0,10-Jan,0,0,0,0,1,10-Jan,KIVA COWORK,Santa Barbara,California,United States
Volunteer Aerospace,2016,"Aerospace, Industrial Engineering, Manufacturing","Knoxville, Tennessee, United States",80401,Volunteer Aerospace is a defense and space manufacturing company.,Active,2607414,0,0,0,Private,0,11-50,0,0,0,0,1,11-50,VOLUNTEER AEROSPACE,Knoxville,Tennessee,United States
NationX,2016,"Advertising, Digital Marketing, Information Technology, Marketing","Beverly Hills, California, United States",75023,NationX is a full-service marketing agency that engages in disrupting the influencer marketing space.,Active,2696774,0,0,0,Private,0,10-Jan,0,0,0,0,1,10-Jan,NATIONX,Beverly Hills,California,United States
DWG AeroSpace Engineerings,2016,"Aerospace, Air Transportation, Manufacturing, Space Travel","Chicago, Illinois, United States",19101,Global ukrainian aircraft and space equipment manufacturer,Active,3403080,0,0,0,Private,0,101-250,0,0,0,0,1,101-250,DWG AEROSPACE ENGINEERINGS,Chicago,Illinois,United States
VergeSense,2017,"Analytics, Artificial Intelligence (AI), Hardware, Information Technology, Real Estate, SaaS, Sensor","San Francisco, California, United States",84401,VergeSense is the leading workplace analytics platform and provides spatial intelligence to enterprise companies.,Active,5348,Late Stage Venture,2021-11-08,Series C,Private,$10M to $50M,101-250,5,82620000,"Y Combinator, Scale Venture Partners, MetaProp, Tola Capital, Touchdown Ventures",12,1,101-250,VERGESENSE,San Francisco,California,United States
Neighbor,2017,"Information Technology, Marketplace, Peer to Peer, PropTech, Real Estate, Sharing Economy","Lehi, Utah, United States",28202,"Neighbor specializes in the fields of public storage, economic empowerment, sharing economy, and peer-to-peer marketplace.",Active,11384,Early Stage Venture,2021-03-24,Series B,Private,$10M to $50M,51-100,3,65700000,"Andreessen Horowitz, Fifth Wall, Revolutions Rise of the Rest Seed Fund, Pelion Venture Partners, Offline Ventures",10,1,51-100,NEIGHBOR,Lehi,Utah,United States
Kitchen United,2017,"E-Commerce, Food and Beverage, Information Technology, Restaurants","Pasadena, California, United States",90717,Kitchen United offers a turnkey solution for restaurant brands to profitably expand.,Active,13018,Late Stage Venture,2022-07-25,Series C,Private,$10M to $50M,101-250,5,150000000,"Google Ventures, Fidelity, Phillips Edison & Company, Simon Property Group, G Squared",22,1,101-250,KITCHEN UNITED,Pasadena,California,United States
Lunar Outpost,2017,"Aerospace, Information Technology, Robotics","Golden, Colorado, United States",22201,Lunar Outpost creates technologies that enable a sustainable presence in cislunar space while driving a positive impact here on Earth.,Active,14543,Seed,2022-05-24,Seed,Private,$1M to $10M,11-50,2,12000000,"Creative Destruction Lab (CDL), Type One Ventures, Promus Ventures, Space Capital, Cathexis Ventures",6,1,11-50,LUNAR OUTPOST,Golden,Colorado,United States
Apogee Semiconductor,2017,"Aerospace, Industrial Manufacturing, Semiconductor","Plano, Texas, United States",24501,Apogee Semiconductor provides products and technologies for space and other extreme environments.,Active,44231,0,2023-04-19,Venture - Series Unknown,Private,$1M to $10M,11-50,5,15548887,National Science Foundation,1,1,11-50,APOGEE SEMICONDUCTOR,Plano,Texas,United States
KleenWraps,2017,"CleanTech, Health Care, Manufacturing","Philadelphia, Pennsylvania, United States",75201,"KleenWraps is a consumer PPE brand designing, producing, and marketing products that meet the ever-changing PPE needs of the time.",Active,145381,Seed,2020-04-28,Angel,Private,0,10-Jan,1,100000,0,0,1,10-Jan,KLEENWRAPS,Philadelphia,Pennsylvania,United States
Becklar,2017,"Information Technology, Security","Ogden, Utah, United States",92101,Becklar is an innovative company in the IoT space with call center and IoT platform expertise.,Active,204949,M&A,0,0,Private,$50M to $100M,251-500,0,0,0,0,1,251-500,BECKLAR,Ogden,Utah,United States
IperionX,2017,Manufacturing,"Charlotte, North Carolina, United States",28202,IperionX is a leading American titanium metal and critical materials company.,Active,209182,IPO,2023-11-08,Post-IPO Equity,Public,$1M to $10M,11-50,5,57800000,"U.S. Department of Defense, Fidelity International, Export-Import Bank of the United States, Air Force Research Laboratory, Inherent Group",7,1,11-50,IPERIONX,Charlotte,North Carolina,United States
Advanced Rockets Corporation,2017,"Aerospace, Air Transportation, Space Travel","Lomita, California, United States",90717,Advanced Rockets Corporation is an aerospace company with a focus on hypersonic flight systems.,Active,1115888,0,0,0,Private,Less than $1M,10-Jan,0,0,0,0,1,10-Jan,ADVANCED ROCKETS,Lomita,California,United States
