contract_award_unique_key,award_id_piid,total_obligated_amount,current_total_value_of_award,potential_total_value_of_award,award_base_action_date,award_base_action_year,current_end_date,awarding_agency_name,awarding_sub_agency_name,funding_agency_name,funding_sub_agency_name,recipient_name,recipient_parent_name,recipient_city_name,recipient_state_code,recipient_zipcode,primary_place_of_performance_city_name,primary_place_of_performance_state_code,award_type,type_of_contract_pricing,product_or_service_code_description,naics_code,naics_description,number_of_offers_received,organizational_type,clean_recipient_name,clean_recipient_parent_name
CONT_AWD_0004_9700_N6893602D0010_9700,4,260904,0,0,2003-01-23,2003,2011-02-14,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Navy,"L3HARRIS TECHNOLOGIES, INC.","L3HARRIS TECHNOLOGIES, INC",PALM BAY,FL,32905,PALM BAY,FL,DELIVERY ORDER,TIME AND MATERIALS,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; R&D ADMINISTRATIVE EXPENSES,541330,ENGINEERING SERVICES,3,CORPORATE NOT TAX EXEMPT,L3HARRIS TECHNOLOGIES,L3HARRIS TECHNOLOGIES
CONT_AWD_NNC04CB14C_8000_-NONE-_-NONE-,NNC04CB14C,2334486,2656096,2668964,2004-03-08,2004,2018-01-23,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"AEROJET ROCKETDYNE, INC.","AEROJET ROCKETDYNE HOLDINGS, INC.",REDMOND,WA,98052,CLEVELAND,OH,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),336415,GUIDED MISSILE AND SPACE VEHICLE PROPULSION UNIT AND PROPULSION UNIT PARTS MANUFACTURING,999,Unknown,AEROJET ROCKETDYNE,AEROJET ROCKETDYNE HOLDINGS
CONT_IDV_DTFH6104C00041_6925,DTFH6104C00041,546607.9,0,0,2004-09-09,2004,,Department of Transportation,Federal Highway Administration,Department of Transportation,Federal Highway Administration,CORNELL UNIVERSITY,CORNELL UNIVERSITY,ITHACA,NY,14853,Unknown,Unknown,Unknown,COST NO FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,4,Unknown,CORNELL UNIVERSITY,CORNELL UNIVERSITY
CONT_IDV_N0017804D1025_9700,N0017804D1025,0,0,0,2004-09-21,2004,,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Navy,LEIDOS INC,"LEIDOS HOLDINGS, INC.",RESTON,VA,20190,Unknown,Unknown,Unknown,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,CORPORATE NOT TAX EXEMPT,LEIDOS,LEIDOS HOLDINGS
CONT_AWD_HSCECO04C0101_7012_-NONE-_-NONE-,HSCECO04C0101,2465634,0,0,2003-10-22,2004,2004-09-30,Department of Homeland Security,U.S. Immigration and Customs Enforcement,Department of Homeland Security,Office of the Chief Procurement Officer,LOCKHEED MARTIN AERONAUTICS CO,LOCKHEED MARTIN AERONAUTICS CO,WASHINGTON,DC,20003,WASHINGTON,DC,DEFINITIVE CONTRACT,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,LOCKHEED MARTIN AERONAUTICS,LOCKHEED MARTIN AERONAUTICS
CONT_AWD_NNJ04HE06C_8000_-NONE-_-NONE-,NNJ04HE06C,1627608,0,0,2004-07-01,2004,2007-06-01,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,OCEANEERING INTERNATIONAL INC,OCEANEERING INTERNATIONAL INC,HOUSTON,TX,77041,HOUSTON,TX,DCA,COST PLUS FIXED FEE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (OPERATIONAL SYSTEMS DEVELOPMENT),336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,1,Unknown,OCEANEERING INTERNATIONAL,OCEANEERING INTERNATIONAL
CONT_AWD_NNG04EB99C_8000_-NONE-_-NONE-,NNG04EB99C,367432648,391932243,391932243,2004-04-21,2004,2026-09-30,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,SOUTHWEST RESEARCH INSTITUTE,SOUTHWEST RESEARCH INSTITUTE,SAN ANTONIO,TX,78238,SAN ANTONIO,TX,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),336414,GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,999,Unknown,SOUTHWEST RESEARCH INSTITUTE,SOUTHWEST RESEARCH INSTITUTE
CONT_AWD_NNJ05HD27C_8000_-NONE-_-NONE-,NNJ05HD27C,1474270,1570982,1570982,2005-04-04,2005,2008-05-31,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"AKIMA TECH-LINK, LLC","AKIMA TECH-LINK, LLC",CLEARWATER,FL,33759,HOUSTON,TX,DEFINITIVE CONTRACT,FIRM FIXED PRICE,R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),541330,ENGINEERING SERVICES,1,Unknown,AKIMA TECHLINK,AKIMA TECHLINK
CONT_AWD_0006_9700_N0017804D4042_9700,6,28963554.45,0,0,2005-09-28,2005,2010-09-30,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"AMENTUM SERVICES, INC.",AECOM,GERMANTOWN,MD,20876,GERMANTOWN,MD,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,CORPORATE NOT TAX EXEMPT,AMENTUM SERVICES,AECOM
CONT_IDV_DTFH6105D00017_6925,DTFH6105D00017,61174.05,0,1200000,2005-05-10,2005,,Department of Transportation,Federal Highway Administration,Department of Transportation,Federal Highway Administration,"ENGINEERING & SOFTWARE CONSULTANTS, LLC","ENGINEERING & SOFTWARE CONSULTANTS, LLC",STERLING,VA,20165,Unknown,Unknown,Unknown,ORDER DEPENDENT (IDV ALLOWS PRICING ARRANGEMENT TO BE DETERMINED SEPARATELY FOR EACH ORDER),R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,ENGINEERING SOFTWARE CONSULTANTS,ENGINEERING SOFTWARE CONSULTANTS
CONT_IDV_HSBP1005J08501_7014,HSBP1005J08501,15588727.4,0,0,2005-08-26,2005,,Department of Homeland Security,U.S. Customs and Border Protection,Department of Homeland Security,Office of the Chief Procurement Officer,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",GENERAL ATOMICS,SAN DIEGO,CA,92127,Unknown,Unknown,Unknown,FIRM FIXED PRICE,R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,4,Unknown,GENERAL ATOMICS AERONAUTICAL SYSTEMS,GENERAL ATOMICS
CONT_AWD_N6133905C0122_9700_-NONE-_-NONE-,N6133905C0122,729564.85,0,0,2005-09-27,2005,2007-09-27,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Navy,L.C. PEGASUS CORP.,L.C. PEGASUS CORP.,BASKING RIDGE,NJ,7920,BASKING RIDGE,NJ,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,LC PEGASUS,LC PEGASUS
CONT_AWD_NNC05CA85C_8000_-NONE-_-NONE-,NNC05CA85C,5493579.88,0,0,2005-05-31,2005,2013-02-05,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,PERATON INC.,"L3HARRIS TECHNOLOGIES, INC",HERNDON,VA,20170,HERNDON,VA,DCA,COST PLUS FIXED FEE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541330,ENGINEERING SERVICES,4,Unknown,PERATON,L3HARRIS TECHNOLOGIES
CONT_AWD_0008_9700_W15QKN05D0003_9700,8,4689,0,0,2005-08-15,2005,2016-06-15,Department of Defense,Department of the Army,Department of Defense,Department of the Army,SAVIT CORPORATION,SAVIT CORPORATION,PARSIPPANY,NJ,7054,PARSIPPANY,NJ,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,SAVIT,SAVIT
CONT_AWD_NNG06CA22C_8000_-NONE-_-NONE-,NNG06CA22C,14643625.44,15428861,15428861,2006-03-31,2006,2010-12-31,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,ATK SPACE SYSTEMS INC.,NORTHROP GRUMMAN INNOVATION SYSTEMS LLC,MAGNA,UT,84044,MAGNA,UT,DEFINITIVE CONTRACT,COST PLUS AWARD FEE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT),336414,GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,1,Unknown,ATK SPACE SYSTEMS,NORTHROP GRUMMAN INNOVATION SYSTEMS
CONT_AWD_NS01_9700_N0017805D4200_9700,NS01,8723275,0,0,2005-10-01,2006,2012-09-30,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Navy,"AUSGAR TECHNOLOGIES, INC.","AUSGAR TECHNOLOGIES, INC.",SAN DIEGO,CA,92108,SAN DIEGO,CA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,21,Unknown,AUSGAR TECHNOLOGIES,AUSGAR TECHNOLOGIES
CONT_AWD_HSFEHQ06J0053_7022_HSFEHQ04D0733_7022,HSFEHQ06J0053,99989.59,0,0,2006-08-30,2006,2008-06-30,Department of Homeland Security,Federal Emergency Management Agency,Department of Homeland Security,Federal Emergency Management Agency,"BLDG, ENGR&SCIENCESTECH TEAM","BLDG, ENGR&SCIENCESTECH TEAM",GREENBELT,MD,20770,LAUREL,MD,DELIVERY ORDER,COMBINATION (APPLIES TO AWARDS WHERE TWO OR MORE OF THE ABOVE APPLY),R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,BLDG ENGRSCIENCESTECH TEAM,BLDG ENGRSCIENCESTECH TEAM
CONT_AWD_HSFEHQ06J0052_7022_HSFEHQ04D0733_7022,HSFEHQ06J0052,74108.54,0,0,2006-08-30,2006,2007-08-30,Department of Homeland Security,Federal Emergency Management Agency,Department of Homeland Security,Federal Emergency Management Agency,"BLDG, ENGR&SCIENCESTECH TEAM","BLDG, ENGR&SCIENCESTECH TEAM",GREENBELT,MD,20770,LAUREL,MD,DELIVERY ORDER,COMBINATION (APPLIES TO AWARDS WHERE TWO OR MORE OF THE ABOVE APPLY),R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,BLDG ENGRSCIENCESTECH TEAM,BLDG ENGRSCIENCESTECH TEAM
CONT_IDV_N0017806D3030_9700,N0017806D3030,0,0,11497203,2006-08-03,2006,,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Navy,"CUSTOM ANALYTICAL ENGINEERING SYSTEMS, INC.","CUSTOM ANALYTICAL ENGINEERING SYSTEMS, INC.",FLINTSTONE,MD,21530,Unknown,Unknown,Unknown,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,CUSTOM ANALYTICAL ENGINEERING SYSTEMS,CUSTOM ANALYTICAL ENGINEERING SYSTEMS
CONT_IDV_W56HZV06A0005_9700,W56HZV06A0005,0,0,0,2006-09-21,2006,,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Army,"DUCOM, INCORPORATED","DUCOM, INCORPORATED",SILVER SPRING,MD,20910,Unknown,Unknown,Unknown,TIME AND MATERIALS,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,3,Unknown,DUCOM INCORPORATED,DUCOM INCORPORATED
CONT_AWD_NNL06AA29C_8000_-NONE-_-NONE-,NNL06AA29C,8178966.52,0,0,2006-04-28,2006,2016-08-26,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,GEORGIA TECH RESEARCH CORP,GEORGIA TECH RESEARCH CORP,ATLANTA,GA,30332,ATLANTA,GA,DEFINITIVE CONTRACT,COST NO FEE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),541330,ENGINEERING SERVICES,485,Unknown,GEORGIA TECH RESEARCH,GEORGIA TECH RESEARCH
CONT_AWD_N0002406C2104_9700_-NONE-_-NONE-,N0002406C2104,4808068,0,0,2006-07-19,2006,2010-10-31,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,HUNTINGTON INGALLS INC,"HUNTINGTON INGALLS INDUSTRIES, INC",NEWPORT NEWS,VA,23607,SUNNYVALE,CA,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,HUNTINGTON INGALLS,HUNTINGTON INGALLS INDUSTRIES
CONT_AWD_HDTRA106C0007_9700_-NONE-_-NONE-,HDTRA106C0007,24762494.55,0,0,2006-01-03,2006,2011-01-07,Department of Defense,Defense Contract Management Agency,Department of Defense,Defense Threat Reduction Agency,"LEIDOS, INC.","LEIDOS HOLDINGS, INC.",VIRGINIA BEACH,VA,23452,VIRGINIA BEACH,VA,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,LEIDOS,LEIDOS HOLDINGS
CONT_AWD_HDTRA106C0021_9700_-NONE-_-NONE-,HDTRA106C0021,3474062.72,2451.72,2451.72,2006-04-17,2006,2009-04-17,Department of Defense,Defense Threat Reduction Agency,Department of Defense,Defense Threat Reduction Agency,SRI INTERNATIONAL,SRI INTERNATIONAL,MENLO PARK,CA,94025,FORT BELVOIR,VA,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,SRI INTERNATIONAL,SRI INTERNATIONAL
CONT_AWD_1008_9700_N0001906D0007_9700,1008,2225.32,0,0,2006-07-20,2006,2007-03-31,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Navy,THE BOEING COMPANY,THE BOEING COMPANY,SAINT LOUIS,MO,63166,SAINT LOUIS,MO,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,THE BOEING,THE BOEING
CONT_AWD_1004_9700_N0001906D0007_9700,1004,25115.36,0,0,2006-06-12,2006,2006-11-30,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Navy,THE BOEING COMPANY,THE BOEING COMPANY,SAINT LOUIS,MO,63166,SAINT LOUIS,MO,DO,COST PLUS FIXED FEE,R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,THE BOEING,THE BOEING
CONT_IDV_DTFH6107D00030_6925,DTFH6107D00030,0,0,0,2007-09-24,2007,,Department of Transportation,Federal Highway Administration,Department of Transportation,Federal Highway Administration,"AMEC E&I, INC",AMEC PLC,ALPHARETTA,GA,30004,Unknown,Unknown,Unknown,ORDER DEPENDENT (IDV ALLOWS PRICING ARRANGEMENT TO BE DETERMINED SEPARATELY FOR EACH ORDER),R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,12,Unknown,AMEC EI,AMEC PLC
CONT_AWD_NNG07EK00C_8000_-NONE-_-NONE-,NNG07EK00C,88096931,88176285,88176285,2006-12-15,2007,2024-10-31,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,TEMPE,AZ,85287,TEMPE,AZ,DEFINITIVE CONTRACT,COST NO FEE,R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),336414,GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,24,Unknown,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY
CONT_IDV_DTFH6107D00029_6925,DTFH6107D00029,1234.68,0,0,2007-09-24,2007,,Department of Transportation,Federal Highway Administration,Department of Transportation,Federal Highway Administration,BATTELLE MEMORIAL INSTITUTE,BATTELLE MEMORIAL INSTITUTE,COLUMBUS,OH,43201,Unknown,Unknown,Unknown,ORDER DEPENDENT (IDV ALLOWS PRICING ARRANGEMENT TO BE DETERMINED SEPARATELY FOR EACH ORDER),R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,12,Unknown,BATTELLE MEMORIAL INSTITUTE,BATTELLE MEMORIAL INSTITUTE
CONT_IDV_HDTRA107D0007_9700,HDTRA107D0007,0,0,0,2007-04-13,2007,,Department of Defense,Defense Threat Reduction Agency,Department of Defense,Defense Threat Reduction Agency,BLACK & VEATCH SPECIAL PROJECTS CORP.,BLACK & VEATCH HOLDING COMPANY,SHAWNEE MISSION,KS,66211,Unknown,Unknown,Unknown,ORDER DEPENDENT (IDV ALLOWS PRICING ARRANGEMENT TO BE DETERMINED SEPARATELY FOR EACH ORDER),R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,BLACK VEATCH SPECIAL PROJECTS,BLACK VEATCH HOLDING
