year,company_name,amount,state_code,category
2024,TRUSTED SPACE,999818,VA,New Awardees
2019,URBAN SKY,114888,CO,New Awardees
2016,VECTOR LAUNCH,481044,AZ,New Awardees
2018,VECTOR LAUNCH,481044,AZ,New Awardees
2019,VESTIGO AEROSPACE,1247571,CA,New Awardees
2019,VESTIGO AEROSPACE,124997,IN,New Awardees
2020,VESTIGO AEROSPACE,1122574,IN,New Awardees
2019,XAIROS,124843,CO,New Awardees
2021,3I3SIGNATURE,0,FL,Startups
2016,4DMOBILE,0,IA,Startups
2016,"4TH LAW,",135000,CA,Startups
2017,5D VISION,0,DC,Startups
2024,AADI SPACE,0,CA,Startups
2017,ABL SPACE SYSTEMS,479000000,CA,Startups
2019,ABOVE: SPACE DEVELOPMENT,2320750,AL,Startups
2017,ACCESSAEROSPACE,0,NJ,Startups
2021,ACCESSED SPACE,0,ID,Startups
2018,ACCUTRIEVE,0,FL,Startups
2018,ACLARO,0,FL,Startups
2017,"ACTIVE ATOM,",0,CA,Startups
2015,ADDITIVE ROCKET,1470000,CA,Startups
2015,ADRANOS ENERGETICS,32890000,IN,Startups
2019,ADROIT PARTNERS,0,MA,Startups
2016,ADVANCED CORE CONCEPTS,0,GA,Startups
2017,ADVANCED ROCKETS,0,CA,Startups
2019,ADVANCED SHOOTING ANALYTICS,137200,CO,Startups
2022,ADVANCEPAY,200000,CA,Startups
2016,ADVANCINGX,0,CA,Startups
2015,ADVISOR ENERGY,0,TX,Startups
2023,AEONE,0,WA,Startups
2017,AEROCOMPOSITES,0,CA,Startups
2023,AERONAUTICS RISK ADVISORS,0,VA,Startups
2023,AETHERO,0,CA,Startups
2022,AFLOAT,1620000,TX,Startups
2018,AFRICAN GEOSPACE,10000,CA,Startups
2019,AGILE SPACE INDUSTRIES,18140000,CO,Startups
2021,AI EXOSPHERE,0,FL,Startups
2018,AI INSURANCE,4950000,CA,Startups
2016,AINGEL,0,CA,Startups
2015,AIR FORCE INSTALLATION AND MISSION SUPPORT CENTER,0,TX,Startups
2018,AIR SPACE INTELLIGENCE,34000000,CA,Startups
2016,AIRSPEQ,1394631,CA,Startups
2016,AKASH SYSTEMS,17600000,CA,Startups
2017,AKROBOTIX,474996,NY,Startups
2019,AKUARIO,90000,CA,Startups
2020,ALBEDO,93000000,CO,Startups
2017,ALBERT EINSTONE'S,0,CA,Startups
2022,ALIFE VIRTUAL,200000,DE,Startups
2015,ALLOY LED,850000,CA,Startups
2020,ALPHY,2300000,ID,Startups
2016,ALZONE SOFTWARE PVT,0,PA,Startups
2016,AMKOM DESIGN GROUP,0,CA,Startups
2023,ANALYTICA BIOSCIENCES,10000,FL,Startups
2018,ANCHOR,0,NY,Startups
2018,ANGLE42,0,CA,Startups
2017,ANSWERIQ,5000000,WA,Startups
2021,ANTARIS,7700000,CA,Startups
2023,APEIRON SPACE,20000,CA,Startups
2022,APEX - SPACECRAFT MANUFACTURING,122000000,CA,Startups
2019,APHELION AEROSPACE,150000,CO,Startups
2015,APHELION ORBITALS,500000,NJ,Startups
2017,APOGEE SEMICONDUCTOR,13351596.01,TX,Startups
2022,APP0,3875000,TX,Startups
2021,APPLIED PHYSICS,0,NY,Startups
2016,APPREBEL,0,CA,Startups
2023,APURUN,20000,CA,Startups
2016,AQQUUA,0,NY,Startups
2019,AQST USA,0,MS,Startups
2015,AQUARIAN SPACE,760000,CO,Startups
2021,ARCANTH,0,MA,Startups
2016,ARDENT PRIVACY,200000,MD,Startups
2021,ARGO SPACE,9900000,CA,Startups
2019,ARNDAI,150000,CA,Startups
2018,AROUND,15200000,CA,Startups
2017,ARTEMIS ABA,0,TX,Startups
2022,ARTIFICIAL BRAIN,50000,DE,Startups
2017,ASCENSION ENGINEERING GROUP,0,CO,Startups
2018,ASKA,0,CA,Startups
2017,AST SPACEMOBILE,675900000,TX,Startups
2019,ASTEROIDS LABORATORY,0,AZ,Startups
2016,ASTRA,390900000,CA,Startups
2016,ASTRA SPACELINES,380000,IL,Startups
2015,ASTRANIS,753499998,CA,Startups
2020,ASTROLAB,0,CA,Startups
2019,ASTRONETX,0,MA,Startups
2016,ASTROREALITY,8000000,CA,Startups
2016,ATLANTIC CARBON GROUP,0,PA,Startups
2018,ATLANTIC HUB,0,NH,Startups
2015,ATLAS SPACE OPERATIONS,50660672,MI,Startups
2022,ATMOS,0,FL,Startups
2021,ATOMIC ORBITAL HYDROGEN WAVE VECTOR,0,IL,Startups
2018,ATOMOS SPACE,21897041,CO,Startups
2021,ATRX,0,AL,Startups
2015,AUDACY,13127172,CA,Startups
2016,AUGER.AI,0,CA,Startups
2023,AURIGA SPACE,5000000,CA,Startups
2021,AUSO TECH,0,FL,Startups
2022,AUTEV,0,WA,Startups
2020,AVA MANUFACTURING,0,CO,Startups
2023,AVENUE Z,0,FL,Startups
2015,AVISTA PHARMA,0,NC,Startups
2020,AXE,0,NC,Startups
2020,AXIMUS TECHS,0,CA,Startups
2016,AXIOM SPACE,432130450.7,TX,Startups
2022,AXTA SPACE,0,VA,Startups
2018,AYALA ENGINEERING,0,CO,Startups
2022,BABYLON VOICE,0,NY,Startups
2018,BACK PORCH HOMES,350000,CA,Startups
2018,BACK TO SPACE,1600000,TX,Startups
2023,BASALT TECH,4000000,CA,Startups
2015,BEACON ADVERTISING,0,TX,Startups
2019,BEARLY SOLUTIONS,0,NJ,Startups
2017,BEAXY EXCHANGE,0,IL,Startups
2017,BECKLAR,0,UT,Startups
2017,BENCHMARK SPACE SYSTEMS,54801367,VT,Startups
2017,BERKELYN,25000,NY,Startups
2016,BESTMARK NATIONAL,0,NJ,Startups
2018,BEYOND EARTH,50000,CA,Startups
2022,BEYONDRISK,0,NY,Startups
2024,BIFROST ORBITAL,652500,CA,Startups
2018,BIRCH GLOBAL,0,GA,Startups
2017,BIRDDOG TECHNOLOGIES,0,VA,Startups
2017,BIRRI,0,CA,Startups
2017,BITCOIN BEGINNER BOX,0,TX,Startups
2023,BLACKSTAR ORBITAL TECHNOLOGIES,0,FL,Startups
2017,BLAKFX,0,NJ,Startups
2016,B-LINE AI,199750,NY,Startups
2018,BLINK IDENTITY,1620000,TX,Startups
2018,BLOCKLIGHT,183338,IL,Startups
2018,BLOCKTISTICS,0,NJ,Startups
2018,BLUE FEVER,7255110,CA,Startups
2020,BLUEHALO,713101674.4,VA,Startups
2019,BOH.AI,325000,CA,Startups
2017,BOVLABS,0,CA,Startups
2019,BOX ROBOTICS,255730,PA,Startups
2018,BOXES DEVICES,270000,TX,Startups
2016,BOXOLOGIC,955000,MA,Startups
2015,BRAMMER BIO,0,MA,Startups
2017,BRITE FRAME FABRICATORS,0,NY,Startups
2016,BROADLOOP,495000,IN,Startups
2019,BRONCO SPACE,0,CA,Startups
2017,BUBBLE DEFENSE SYSTEMS.,0,CA,Startups
2017,BUMBLEBEE SPACES,22700000,CA,Startups
2021,BYTESENSE,0,TX,Startups
2020,C ASTRA TECHNOLOGIES,0,DE,Startups
2016,CACTUS MATERIALS,1518263,AZ,Startups
2022,CADENA,0,CA,Startups
2015,CAERUS,2575000,MN,Startups
2017,CAF2CODE,0,VA,Startups
2015,CALKINS DIGITAL,0,PA,Startups
2019,CAMBIUM,27012877,CA,Startups
2021,CANOPY AEROSPACE,1700000,CO,Startups
2016,CAPELLA SPACE,238969988,CA,Startups
2021,CAPSLL,0,TX,Startups
2021,CAPSULE,7700000,NY,Startups
2015,CAPTURE2,4000000,CA,Startups
2016,CARFIT,4750000,CA,Startups
2018,CASSARO,0,TX,Startups
2019,CASTELLUM,10220000,MD,Startups
2018,CATALYST ACCELERATOR,50000,CO,Startups
2015,CELESTAR HOLDINGS,0,FL,Startups
2017,CEMVITA,11499996,TX,Startups
2020,CENTER FOR THE FUTURE PRESCOTT,0,AZ,Startups
2017,CESIUMASTRO,182806295,TX,Startups
2022,CHAINGPT,0,DE,Startups
2023,CHARGING ZOO,0,CA,Startups
2021,CHARTER SPACE,0,CA,Startups
2015,CHATMAP,0,CA,Startups
2021,CHATSTAT,0,CA,Startups
2017,CHICAGO CONNECTORY,0,IL,Startups
2018,CIRCLES,0,CA,Startups
2019,CISLUNAR INDUSTRIES,3539991,CO,Startups
2021,CISLUNE,16000,CA,Startups
2018,CKM ANALYTIX,1500000,NY,Startups
2017,CLARKE GLOBAL MARKETING,0,CA,Startups
2018,CLOUD COMPLIANCE,0,IL,Startups
2018,COEO SPACE,100000,PA,Startups
2018,COGNITIVE SPACE,8423747,TX,Startups
2018,COGNITIVE TALENT SOLUTIONS,1200000,CA,Startups
2017,COIN NINJA,0,OH,Startups
2022,COLLEGE DAO,0,MI,Startups
2019,COLO-RESOURCES,0,CA,Startups
2015,COLUMBIA SPACE INITIATIVE,0,NY,Startups
2019,COLUMBUS APPAREL STUDIO,0,OH,Startups
2018,COMMOOT,0,IL,Startups
2016,COMMUTER AIR TECHNOLOGY,0,OK,Startups
2016,COMPLIABLE,5707997,CO,Startups
2018,COMPUVERSE,0,DC,Startups
2018,CON X INNOVATION,0,CA,Startups
2017,CONSOLIDATED MACHINE & TOOL,37739054,FL,Startups
2019,CONSTANELLIS AEROSPACE,32000000,DC,Startups
2021,CONTINUUM SPACE SYSTEMS,6000000,CA,Startups
2020,COPERNIC SPACE,150000,CA,Startups
2018,CORAL,0,CA,Startups
2017,COSMOX,0,TX,Startups
2023,COVE,6000000,CA,Startups
2016,CREATORS LABEL,0,MD,Startups
2018,CREWCHIEF SYSTEMS,0,CA,Startups
2021,CRYPTO COLO CENTER,1000000,KS,Startups
2018,CRYPTO PRO,0,CT,Startups
2016,CRYPTONINJAS,0,WA,Startups
2020,CRYPTOSAT,6000000,CA,Startups
2023,CTRL AI,0,CA,Startups
2018,CYBERSECURITY COLLABORATION,0,OR,Startups
2022,"CYCLO TECHNOLOGIES,",0,GA,Startups
2017,D12 COMMERCIAL INTERIORS,0,GA,Startups
2024,DAILYALA,0,NY,Startups
2015,"DAQ.IO,",0,WA,Startups
2015,DATA FRIENDLY SPACE,0,VA,Startups
2016,DATA SCIENCE SALON,0,FL,Startups
2016,DATA SERVICES PARTNERS,0,CA,Startups
2020,DAYBREAK LABS,0,CA,Startups
2017,DBG,0,AR,Startups
2020,DDES,0,NM,Startups
2020,DEEP SPACE BIOLOGY,0,CA,Startups
2018,DEEPCHARGE,100000,MA,Startups
2023,DEFENSE & FINANCE TECH,0,WY,Startups
2021,DEFENSE UNICORNS,35504329,CO,Startups
2020,DEIMOS-ONE,0,NV,Startups
2021,DELTA-V ANALYTICS,0,DE,Startups
2018,DELTA-V ROBOTICS,0,DE,Startups
2018,DESTINY SPACE SYSTEMS,0,MA,Startups
2020,DETONATION SPACE,145000,CA,Startups
2020,DIGITAL,0,CT,Startups
2016,DIGITAL AEROLUS,0,KS,Startups
2018,DIGITAL GOLGI,0,FL,Startups
2022,DIGS,14000000,WA,Startups
2018,DIMAAG,0,CA,Startups
2021,DIRTSAT,150000,CA,Startups
2015,DO SPACE,0,NE,Startups
2023,DOCUNLOCK,0,CA,Startups
2017,DOT DRIVES SOFTWARE,75000,VA,Startups
2015,DOWNHOLE CHEMICAL SOLUTIONS,0,TX,Startups
2022,DOWNMASS,0,CA,Startups
2022,DOZERAX SPACE,0,CA,Startups
2018,DRAGONGLASS,0,CA,Startups
2018,DRDOJO,0,NY,Startups
2022,DRIFTING IN SPACE,3000000,NY,Startups
2017,DRIFTR,0,CA,Startups
2019,DRONEHUB,7500000,NY,Startups
2016,DUEXT,0,NY,Startups
2016,DUSTOFF TECHNOLOGIES,0,FL,Startups
2016,DWG AEROSPACE ENGINEERINGS,0,IL,Startups
2016,DWG HOLDINGS,0,IL,Startups
2018,E8 ENGINEERING,0,CA,Startups
2020,EAGLE LAKE LABORATORIES,930000,FL,Startups
2017,EARLY STAGE PODCAST,0,MA,Startups
2018,EAST WEST LABS,0,WA,Startups
2021,EASY BUTTON CAPITAL,3592300,AZ,Startups
2022,EASYTV,0,FL,Startups
2015,ECM PCB STATOR TECH,12070400,MA,Startups
2018,ECONOMIC IMPACT CATALYST,0,FL,Startups
2016,ECONOMIC SPACE AGENCY,0,CA,Startups
2020,EDEKEE,300000,NJ,Startups
2016,EDUCATION BOT,2031652,CO,Startups
2017,EGLAVATOR,0,FL,Startups
2017,EINO,1375000,NY,Startups
2020,ELADLY (PARKING APP),110000,NY,Startups
2018,ELEMENTAL COATINGS,655000,TX,Startups
2016,ELEVARE TECHNOLOGIES,0,TX,Startups
2021,ELIS,0,NY,Startups
2016,ELITE JETS,0,FL,Startups
2016,EMBLA CO.,0,CA,Startups
2015,EMERGE,"37,500,000.00",CA,Startups
2016,EMERGING FUTURES,255916,CA,Startups
2024,EMOREJAY SOFTWARE,0,FL,Startups
2016,ENDEAVORVR,0,CA,Startups
2016,ENGINETECH.IO,0,CA,Startups
2016,ENVAIRO,60000,NY,Startups
2016,ENVOBIUS,0,CA,Startups
2015,EOS DATA ANALYTICS,1354623,CA,Startups
2017,EPC SPACE,0,MA,Startups
2021,EPSILON3,18825000,CA,Startups
2018,ERISX,47500000,IL,Startups
2019,ETA SPACE,197884,FL,Startups
2018,ETHERSAT,0,CA,Startups
2020,ETHOS FURNITURE,0,CO,Startups
2022,ETHOS SPACE,0,CA,Startups
2017,ETHVENTURES,0,IL,Startups
2018,EVERTEK SOLUTIONS,0,AR,Startups
2022,EVERTISKY,0,IL,Startups
2017,EVERYTHING MSP,0,MI,Startups
2018,EVOLUTION SPACE,2304500,CA,Startups
2023,EXAMOL,0,PA,Startups
2023,EXLABS,3600000,CA,Startups
2018,EXODUS SPACE,0,CO,Startups
2018,EXOLITH LAB,0,FL,Startups
2020,EXO-SPACE,208000,CA,Startups
2016,FAIRWINDS TECHNOLOGIES,0,MD,Startups
2020,FANTM,100000,WI,Startups
2017,FAWDEL,0,CA,Startups
2017,FENIX SPACE,20000,CA,Startups
2023,FIGBOX,250000,DC,Startups
2017,FILEGEAR,0,CA,Startups
2016,FINTANK,0,IL,Startups
2020,FIREHAWK AEROSPACE,28250000,TX,Startups
2015,FLECK,0,CA,Startups
2022,FLEET DEFENDER,2025000,NE,Startups
2018,FLOORSPACE,0,UT,Startups
2020,FLUKEBOX,0,CA,Startups
2020,FORMLESS,2200000,MA,Startups
2018,FORMLOGIC,40400000,PA,Startups
2016,FREEFALL AEROSPACE,2100000,AZ,Startups
2017,FRONTLINE MACHINING,0,CA,Startups
2020,FUTURE STUFF INCORPORATED,0,CA,Startups
2015,GA AG ROBOTICS,0,GA,Startups
2020,GALACTIC BIOWARE,1000000,UT,Startups
2021,GALACTIV,0,TX,Startups
2016,GAMERIZED,35000,TX,Startups
2022,GATE SPACE,1752409,CA,Startups
2017,"GEANT TECHNOLOGY,",5650000,MO,Startups
2016,"GENIUS VENTURES,",400000,WY,Startups
2022,GIUSEPPE SPACE ENTERPRISES,0,CO,Startups
2016,GIVEBOX,0,CA,Startups
2019,GLACIER,4500000,CA,Startups
2016,GLOBAL CRYPTO PRESS ASSOCIATION,0,CA,Startups
2017,GLOBAL FISHING WATCH,60300000,DC,Startups
2022,GO DIGITAL,0,CT,Startups
2015,GO.CARS,0,NV,Startups
2016,"GOGOGUEST,",0,CA,Startups
2021,GRAVITICS,20000000,WA,Startups
2022,GRAVITYLAB,0,WA,Startups
2018,GRIDLINE AI,20000,MA,Startups
2018,GROWTHSPACE,44001000,NY,Startups
2019,G-SPACE,120001,CA,Startups
2017,GUARDIAN STS,0,TX,Startups
2019,GUARDIANSAT,273000,FL,Startups
2017,GUARDION,1953347,MA,Startups
2017,HACKBAMA,0,AL,Startups
2020,HADRIAN,216500000,CA,Startups
2021,HALF SQUARE,2500,NY,Startups
2021,HALO,0,TX,Startups
2022,HATCHFI,1200000,CA,Startups
2018,HAUSMART,0,CO,Startups
2015,HAWKEYE 360,412300000,VA,Startups
2018,HC THERMAL,0,TX,Startups
2022,HEAD SPACE DISTRIBUTION,0,NM,Startups
2018,"HEALTHHIVE, PBC",0,NJ,Startups
2017,HEALTHMODE,3500000,CA,Startups
2017,HEALTHSPLASH,0,KS,Startups
2016,HEDRON,21875000,MA,Startups
2023,HELIUX,2265000,CA,Startups
2016,HELLOGOV,12500000,VA,Startups
2022,HEXABIT,0,TX,Startups
2022,HEXIGON,0,CO,Startups
2020,HEYDAY,800000000,CA,Startups
2019,HILO,0,VA,Startups
2020,HIREBOOK,0,CO,Startups
2021,HOLDON BAGS,0,CA,Startups
2015,HOMIES,750000,MD,Startups
2021,HUBBLE NETWORK,20500000,NV,Startups
2018,HUDSON SPACE SYSTEMS,425000,NJ,Startups
2018,HUE.AI,1200000,VA,Startups
2017,HYDROSAT,35623002,DC,Startups
2015,HYPERCUBES,0,CA,Startups
2018,HYPERGIANT,0,TX,Startups
2019,I.F. ARMOR INTERNATIONAL,0,NC,Startups
2021,IMPACT LOCAL,0,NY,Startups
2021,IMPULSE SPACE,225000000,CA,Startups
2020,IN ORBIT AEROSPACE,2000000,CA,Startups
2022,IN2TEC,600000,NY,Startups
2015,INDEE LABS,5064492,CA,Startups
2016,INFRACLOUD,0,DE,Startups
2018,INGRESS INDUSTRIES,0,CA,Startups
2017,INSCRIBE,0,CO,Startups
2019,INSITE AI,19000000,AR,Startups
2019,INSPECTIFY,22547101,WA,Startups
2020,INSRV,0,VA,Startups
2015,INSTRUMENTAL,80300000,CA,Startups
2017,INTEMPT,0,TX,Startups
2016,INTERGALACTIC,0,UT,Startups
